EndGrpNo,Score1,Score2,Score3,Score4,Score5
1,0,8,1,0,0
2,4,5,1,1,0
3,6,4,1,0,0
4,5,4,0,0,0
5,8,2,0,0,0
6,3,5,0,0,0
7,2,4,0,0,0
8,10,2,4,1,0
9,7,3,1,1,0
10,8,8,2,0,0
11,2,11,8,0,0
12,3,5,6,0,0
13,8,7,2,0,0
14,12,7,2,0,0
15,6,4,1,0,0
16,6,5,6,0,0
17,0,1,14,0,0
18,1,1,16,4,0
19,0,1,16,1,0
20,1,3,6,0,0
21,0,1,8,4,0
22,1,6,12,1,0
23,2,0,5,3,0
24,0,2,9,0,0
25,1,1,21,0,0
26,6,5,15,1,0
27,2,5,5,4,0
28,0,3,3,3,0
29,1,2,5,1,0
30,5,7,0,1,1
31,0,0,15,0,0
32,0,1,29,2,0
33,0,0,8,2,0
34,0,0,16,1,0
35,0,0,8,10,3
36,0,0,15,4,1
37,0,0,18,1,1
38,0,0,18,3,2
39,0,7,19,3,1
40,0,0,10,0,1
41,0,0,25,3,4
42,0,0,5,6,1
43,0,0,9,3,1
