Test SiteCode,SiteID,Prob(1),Prob(2),Prob(3),Prob(4),Prob(5),Prob(6),Prob(7),Prob(8),Prob(9),Prob(10),Prob(11),Prob(12),Prob(13),Prob(14),Prob(15),Prob(16),Prob(17),Prob(18),Prob(19),Prob(20),Prob(21),Prob(22),Prob(23),Prob(24),Prob(25),Prob(26),Prob(27),Prob(28),Prob(29),Prob(30),Prob(31),Prob(32),Prob(33),Prob(34),Prob(35),Prob(36),Prob(37),Prob(38),Prob(39),Prob(40),Prob(41),Prob(42),Prob(43)
TST-01-R,3101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.106,0.047,0.091,0.001,0.008,0.178,0.001,0.087,0.012,0.085,0.000,0.000,0.003,0.334,0.003,0.000,0.015,0.004,0.000,0.006,0.009,0.001,0.003,0.000,0.000
TST-02-R,9581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.010,0.048,0.011,0.002,0.855,0.000,0.004,0.009,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-03-R,8805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.028,0.032,0.487,0.255,0.186,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-04-R,2007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.006,0.051,0.214,0.001,0.007,0.059,0.000,0.021,0.001,0.021,0.000,0.000,0.020,0.195,0.015,0.000,0.371,0.001,0.000,0.006,0.002,0.000,0.002,0.000,0.000
TST-05-R,2307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.792,0.002,0.017,0.000,0.001,0.138,0.045,0.001
TST-06-R,7145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.034,0.883,0.062,0.001,0.000,0.000
TST-07-R,6111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.030,0.000,0.000,0.000,0.000,0.179,0.001,0.789
TST-08-R,SEPA_N06,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-09-R,SEPA_W05,0.000,0.000,0.646,0.230,0.113,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.003,0.005,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-10-R,3785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.002,0.003,0.000,0.000,0.005,0.092,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-11-R,NE01,0.000,0.000,0.000,0.001,0.000,0.007,0.001,0.001,0.074,0.013,0.105,0.359,0.027,0.006,0.000,0.009,0.000,0.004,0.029,0.015,0.001,0.020,0.316,0.005,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TST-12-R,WE03,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.006,0.001,0.000,0.000,0.001,0.001,0.005,0.003,0.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.082,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
