SITE,Waterbody,Year,NGR,Easting,Northing,Altitude,Slope,Discharge,Velocity,Dist_from_Source,Mean_Width,Mean_Depth,Alkalinity,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,Hardness,Calcium,Conductivity,Spr_Season_ID,"Spr_TL2_WHPT_ASPT (AbW,DistFam)","Spr_TL2_WHPT_NTaxa (AbW,DistFam)",Spr_Ntaxa_Bias,Sum_Season_ID,"Sum_TL2_WHPT_ASPT (AbW,DistFam)","Sum_TL2_WHPT_NTaxa (AbW,DistFam)",Sum_Ntaxa_Bias,Aut_Season_ID,"Aut_TL2_WHPT_ASPT (AbW,DistFam)","Aut_TL2_WHPT_NTaxa (AbW,DistFam)",Aut_Ntaxa_Bias
TST-01-R,,2018,SE,94200,91000,60,2.7,2,,10,6.4,21.7,101.4,58,36,3,1,,,,1,6.512,24,1.62,2,6.663,27,1.62,3,6.348,27,1.62
TST-02-R,,2018,SK,22000,64600,142,5,4,,6,6,10.7,194.6,30,47,20,3,,,,1,6.476,25,1.62,2,6.811,18,1.62,3,5.892,25,1.62
TST-03-R,,2018,SS,24600,11600,100,40,1,,1.7,1.4,7.8,50,65,30,3,3,,,,1,6.739,28,1.62,2,5.989,28,1.62,3,6.132,28,1.62
TST-04-R,,2018,SK,4800,25900,97,1.8,3,,27,10,8.7,164,25,53,15,7,,,,1,6.587,31,1.62,2,5.934,29,1.62,3,6.648,31,1.62
TST-05-R,,2018,TL,92100,27200,15,1.3,3,,28,6.6,14.4,217.7,12,80,8,0,,,,1,4.908,24,1.62,2,5.35,22,1.62,3,4.881,31,1.62
TST-06-R,,2018,SU,7400,10500,38,5.5,1,,1.8,1.8,14.2,178,0,38,13,50,,,,1,5.503,31,1.62,2,4.88,25,1.62,3,5.452,29,1.62
TST-07-R,,2018,TL,60400,97000,1,0.2,7,,69,40,200,237.3,1,2,3,94,,,,1,4.017,35,1.62,2,3.894,34,1.62,3,3.959,27,1.62
TST-08-R,,2018,HU,43700,29000,5,11.5,1,,6.6,3.6,12,17.5,73,27,0,0,,,,1,5.436,11,1.62,2,5.53,10,1.62,3,5.845,11,1.62
TST-09-R,,2018,NR,34400,55200,46,11.4,3,,8.5,4.53,20,3,67,33,0,0,,,,1,7.767,18,1.62,2,6.984,19,1.62,3,8.018,17,1.62
TST-10-R,,2018,NS,51500,95500,30,45.7,1,,4,3,17.5,9.5,70,25,5,0,,,,1,7.033,15,1.62,2,6.912,16,1.62,3,7.146,13,1.62
TST-11-R,,2018,NJ,20300,58400,44,8.3,4,,27,15.1,25,23,70,30,0,0,,,,1,7.636,22,1.62,2,7.186,21,1.62,3,7.617,24,1.62
TST-12-R,,2018,SH,63000,66300,160,66.7,2,,6.4,12,28,9.8,83,17,0,0,,,,1,7.604,27,1.62,2,6.779,24,1.62,3,7.048,33,1.62
TST-01-D,,2018,SE,94200,91000,60,2.7,2,,10,6.4,21.7,101.4,58,36,3,1,,,,1,5.783,23,1.62,2,5.885,26,1.62,3,5.615,26,1.62
TST-02-D,,2018,SK,22000,64600,142,5,4,,6,6,10.7,194.6,30,47,20,3,,,,1,5.65,20,1.62,2,6.143,14,1.62,3,5.15,20,1.62
TST-03-D,,2018,SS,24600,11600,100,40,1,,1.7,1.4,7.8,50,65,30,3,3,,,,1,5.778,18,1.62,2,5.111,18,1.62,3,5.222,18,1.62
TST-04-D,,2018,SK,4800,25900,97,1.8,3,,27,10,8.7,164,25,53,15,7,,,,1,5.125,16,1.62,2,4.6,15,1.62,3,5.125,16,1.62
TST-05-D,,2018,TL,92100,27200,15,1.3,3,,28,6.6,14.4,217.7,12,80,8,0,,,,1,3.625,8,1.62,2,3.625,8,1.62,3,3.455,11,1.62
TST-06-D,,2018,SU,7400,10500,38,5.5,1,,1.8,1.8,14.2,178,0,38,13,50,,,,1,2.833,6,1.62,2,2.4,5,1.62,3,2.667,6,1.62
TST-07-D,,2018,TL,60400,97000,1,0.2,7,,69,40,200,237.3,1,2,3,94,,,,1,3.636,33,1.62,2,3.531,32,1.62,3,3.5,26,1.62
TST-08-D,,2018,HU,43700,29000,5,11.5,1,,6.6,3.6,12,17.5,73,27,0,0,,,,1,4.667,9,1.62,2,4.875,8,1.62,3,5,9,1.62
TST-09-D,,2018,NR,34400,55200,46,11.4,3,,8.5,4.53,20,3,67,33,0,0,,,,1,6.417,12,1.62,2,6.083,12,1.62,3,6.818,11,1.62
TST-10-D,,2018,NS,51500,95500,30,45.7,1,,4,3,17.5,9.5,70,25,5,0,,,,1,5.25,8,1.62,2,5.5,8,1.62,3,5.286,7,1.62
TST-11-D,,2018,NJ,20300,58400,44,8.3,4,,27,15.1,25,23,70,30,0,0,,,,1,5.25,8,1.62,2,5.429,7,1.62,3,5.75,8,1.62
TST-12-D,,2018,SH,63000,66300,160,66.7,2,,6.4,12,28,9.8,83,17,0,0,,,,1,4.2,5,1.62,2,3.2,5,1.62,3,3.286,7,1.62
