SITE,YEAR,WATERBODY,eqr_av_sum_aspt,H_ASPT_sum,G_ASPT_sum,M_ASPT_sum,P_ASPT_sum,B_ASPT_sum,mostProb_ASPT_sum,NTAXA_eqr_av_sum,H_NTAXA_sum,G_NTAXA_sum,M_NTAXA_sum,P_NTAXA_sum,B_NTAXA_sum,mostProb_NTAXA_sum,H_MINTA,G_MINTA,M_MINTA,P_MINTA,B_MINTA,mostProb_MINTA
TST-01-R,2018,,1.04405813646524,88.76,11.15,0.09,0,0,H,1.13857706056192,99.45,0.52,0.03,0,0,H,88.28,11.6,0.12,0,0,H
TST-02-R,2018,,1.12144560646092,98.86,1.14,0,0,0,H,0.769093669904219,37.85,38.58,20.4,2.96,0.21,G,37.39,39.04,20.4,2.96,0.21,G
TST-03-R,2018,,0.87096267065273,4.28,52.74,42.69,0.29,0,G,1.19324661813054,99.86,0.14,0,0,0,H,4.27,52.75,42.69,0.29,0,G
TST-04-R,2018,,1.01340694416253,74.68,24.36,0.96,0,0,H,1.18938213215252,99.85,0.15,0,0,0,H,74.57,24.47,0.96,0,0,H
TST-05-R,2018,,1.02650815136398,77.57,20.99,1.44,0,0,H,0.844450279706692,63.1,29.06,7.37,0.45,0.02,H,49.14,41.68,8.71,0.45,0.02,H
TST-06-R,2018,,0.909262705376639,20.09,54.84,24.55,0.52,0,G,1.11495404569892,98.94,0.98,0.08,0,0,H,19.97,54.89,24.62,0.52,0,G
TST-07-R,2018,,0.972014434731487,51.21,36.4,11.94,0.45,0,H,1.21466954003608,99.98,0.02,0,0,0,H,51.21,36.4,11.94,0.45,0,H
TST-08-R,2018,,1.0745971271559,89.15,10.32,0.53,0,0,H,1.06640266963458,88.91,7.67,2.84,0.44,0.14,H,79.32,16.76,3.34,0.44,0.14,H
TST-09-R,2018,,1.10950702604323,98.45,1.55,0,0,0,H,1.48690003593722,99.97,0.03,0,0,0,H,98.42,1.58,0,0,0,H
TST-10-R,2018,,0.996365028883998,67.27,31.64,1.09,0,0,H,1.03620876648258,91.98,6.9,1.07,0.05,0,H,61.71,36.08,2.16,0.05,0,H
TST-11-R,2018,,1.05700745763462,92.69,7.3,0.01,0,0,H,1.10638437002635,97.93,1.91,0.16,0,0,H,90.79,9.04,0.17,0,0,H
TST-12-R,2018,,0.975371225360804,53.8,44.12,2.08,0,0,H,1.10655909385776,98.57,1.38,0.05,0,0,H,53.02,44.85,2.13,0,0,H
TST-01-D,2018,,0.92721069418935,24,62.57,13.43,0,0,G,1.10134898226512,98.71,1.26,0.03,0,0,H,23.65,62.9,13.45,0,0,G
TST-02-D,2018,,1.016730843192,75.64,23.34,1.02,0,0,H,0.614070937144559,4.93,21.26,41.56,23.92,8.33,M,3.87,22.08,41.8,23.92,8.33,M
TST-03-D,2018,,0.749255232114728,0.01,2.89,65.59,31.26,0.25,M,0.791316452947873,45.72,36.34,15.73,2.03,0.18,H,0,2.43,64.73,32.41,0.43,M
TST-04-D,2018,,0.800790703949489,0.85,19.89,66.59,12.58,0.09,M,0.647030727434558,8.68,27.96,41.63,17.34,4.39,M,0.11,7.86,60.83,26.73,4.47,M
TST-05-D,2018,,0.741900081592823,1.18,9.76,46.66,37.52,4.88,M,0.345252633776054,0,0.03,0.65,6.3,93.02,B,0,0,0.48,6.32,93.2,B
TST-06-D,2018,,0.551172315993488,0.2,1.06,8.41,25.62,64.71,B,0.281460052342745,0,0.01,0.18,1.54,98.27,B,0,0,0.04,0.93,99.03,B
TST-07-D,2018,,0.887457074467839,19.6,41.62,34.52,4.14,0.12,G,1.14662742300691,99.73,0.27,0,0,0,H,19.56,41.66,34.52,4.14,0.12,G
TST-08-D,2018,,0.963883561449754,46.73,40.98,11.97,0.32,0,H,0.881599432279696,62.93,20.14,11.98,3.66,1.29,H,30.3,42.98,21.46,3.97,1.29,G
TST-09-D,2018,,0.972869882425527,51.72,43.46,4.82,0,0,H,0.984113279327528,83.68,11.68,4.06,0.51,0.07,H,43.15,47.64,8.63,0.51,0.07,G
TST-10-D,2018,,0.806852989046181,1.14,19.94,69.06,9.78,0.08,M,0.570686623952784,5.33,14.75,30.51,26.12,23.29,M,0.06,4.23,41.64,30.71,23.36,M
TST-11-D,2018,,0.815832814314452,1.94,24.44,64.89,8.54,0.19,M,0.42396681650116,0.14,1.28,8.67,21.27,68.64,B,0,0.35,9.1,21.88,68.67,B
TST-12-D,2018,,0.529888425301247,0,0.14,2.66,21.82,75.38,B,0.290125905531822,0,0,0.25,2.28,97.47,B,0,0,0,1.02,98.98,B
