"","EQR metric compared","Result A","Result B","Average EQR for Result A","Average EQR for Result B","Average EQR: Difference (B - A)","Standard Deviation of Difference","Lower 95% (L95) of Difference","Upper 95% (U95) of Difference","2-sided test probability p of No difference in EQR","Most Probable Class for Result A","Probability of most likely class for Result A","Most Probable Class for Result B","Probability of most likely class for Result B","Probability B more than one class Worse than A","Probability B one class Worse than A","Probability B same Class as A","Probability B one class Better than A","Probability B more than one class Better than A","Probability Result A in High & Result B in High","Probability Result A in High & Result B in Good","Probability Result A in High & Result B in Moderate","Probability Result A in High & Result B in Poor","Probability Result A in High & Result B in Bad","Probability Result A in Good & Result B in High","Probability Result A in Good & Result B in Good","Probability Result A in Good & Result B in Moderate","Probability Result A in Good & Result B in Poor","Probability Result A in Good & Result B in Bad","Probability Result A in Moderate & Result B in High","Probability Result A in Moderate & Result B in Good","Probability Result A in Moderate & Result B in Moderate","Probability Result A in Moderate & Result B in Poor","Probability Result A in Moderate & Result B in Bad","Probability Result A in Poor & Result B in High","Probability Result A in Poor & Result B in Good","Probability Result A in Poor & Result B in Moderate","Probability Result A in Poor & Result B in Poor","Probability Result A in Poor & Result B in Bad","Probability Result A in Bad & Result B in High","Probability Result A in Bad & Result B in Good","Probability Result A in Bad & Result B in Moderate","Probability Result A in Bad & Result B in Poor","Probability Result A in Bad & Result B in Bad"
"1","NTAXA EQR","TST-01-R","TST-01-D",0.9417016164468,0.9051045970439,-0.0365970194028999,0.176858719656885,-0.3788701248,0.309641514375,0.8418,"H",86.77,"H",79.94,2.65,15.15,71.37,9.56,1.27,69.38,14.75,2.58,0.06,0,9.29,1.95,0.4,0.01,0,1.23,0.27,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0
"2","NTAXA EQR","TST-02-R","TST-02-D",0.9742924449821,0.7920614129351,-0.182231032047,0.172822319897868,-0.5182325115,0.1568402605,0.2922,"H",91.6,"H",46.64,15.54,34.57,45.84,3.68,0.37,42.9,33.3,13.74,1.59,0.07,3.38,2.84,1.25,0.13,0.01,0.35,0.3,0.1,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0
"3","NTAXA EQR","TST-03-R","TST-03-D",1.1005160315752,0.7303758101437,-0.3701402214315,0.17731892355153,-0.71344722565,-0.02063202025,0.035,"H",98.93,"G",40.38,33.39,40.06,26.32,0.23,0,25.78,39.83,27.24,5.36,0.72,0.21,0.53,0.23,0.07,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"4","NTAXA EQR","TST-04-R","TST-04-D",1.2029879655219,0.6517047765755,-0.5512831889464,0.177801457743829,-0.8949867669,-0.202378676625,0.0018,"H",99.94,"M",41.5,61.24,30.01,8.75,0,0,8.73,29.98,41.47,15.85,3.91,0,0.02,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","NTAXA EQR","TST-05-R","TST-05-D",0.966160948702,0.3653956315868,-0.6007653171152,0.154510800728557,-0.9015474605,-0.299493252225,0,"H",90.01,"B",89,99.62,0.35,0.03,0,0,0,0.06,1.45,8.49,80.01,0,0,0.18,0.71,8.09,0,0,0.03,0.08,0.87,0,0,0,0,0.03,0,0,0,0,0
"6","NTAXA EQR","TST-06-R","TST-06-D",1.2672770903033,0.2993381387699,-0.9679389515334,0.169679537691451,-1.30116976575,-0.63958305025,0,"H",99.97,"B",97.75,99.99,0.01,0,0,0,0,0.01,0.18,2.06,97.72,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","NTAXA EQR","TST-07-R","TST-07-D",1.345107605962,1.2718684089552,-0.0732391970068,0.209049230581465,-0.4772665827,0.334973491375,0.7286,"H",100,"H",99.97,0,0.03,99.97,0,0,99.97,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","NTAXA EQR","TST-08-R","TST-08-D",1.0890247004494,0.9179395607477,-0.1710851397017,0.298961347393497,-0.760604272625,0.40645070745,0.568,"H",90.94,"H",70.75,10.66,16.69,65.98,4.98,1.69,64.45,16.07,7.83,1.91,0.68,4.67,1.27,0.6,0.18,0.05,1.41,0.28,0.24,0.02,0.01,0.19,0.05,0.03,0.02,0,0.03,0.01,0,0,0
"9","NTAXA EQR","TST-09-R","TST-09-D",1.2524792938188,0.8716233823719,-0.3808559114469,0.257465288019472,-0.883637901675,0.118902611425,0.1424,"H",99.32,"H",65.16,12.11,22.64,64.75,0.47,0.03,64.67,22.56,9.8,1.92,0.37,0.46,0.08,0.08,0.02,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","NTAXA EQR","TST-10-R","TST-10-D",0.9484663007559,0.5516450169721,-0.3968212837838,0.206124275319228,-0.799976516025,0.00186851074999999,0.0506,"H",81.64,"M",29.98,77.72,15.25,5.78,1,0.25,2.67,10.13,24.78,21.89,22.17,0.45,1.91,3.97,3.87,3.95,0.16,0.42,1.07,1.03,1.06,0,0.06,0.13,0.12,0.12,0,0,0.03,0,0.01
"11","NTAXA EQR","TST-11-R","TST-11-D",1.1090139363361,0.4547670045946,-0.6542469317415,0.188114989111587,-1.022678765575,-0.287706935325,2e-04,"H",98.08,"B",57.1,97.53,2.23,0.24,0,0,0.16,2.02,13.42,26.47,56.01,0,0.07,0.18,0.54,1.04,0,0,0.01,0.03,0.05,0,0,0,0,0,0,0,0,0,0
"12","NTAXA EQR","TST-12-R","TST-12-D",1.155998320522,0.2708253883028,-0.8851729322192,0.166094558596751,-1.2103358839,-0.5630273231,0,"H",99.51,"B",98.86,100,0,0,0,0,0,0,0.08,1.06,98.37,0,0,0,0,0.46,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
